month,movie_id,channel,spend_k
2025-01-01,1,Influencer,151
2025-01-01,2,Social,288
2025-01-01,3,Influencer,50
2025-01-01,4,Social,277
2025-01-01,5,TV,60
2025-01-01,6,TV,302
2025-01-01,7,Search,374
2025-01-01,8,TV,59
2025-01-01,1,Social,379
2025-01-01,2,Social,113
2025-01-01,3,Search,347
2025-01-01,4,Influencer,401
2025-01-01,5,Search,345
2025-01-01,6,Influencer,248
2025-01-01,7,Social,199
2025-01-01,8,Social,217
2025-03-01,1,Social,407
2025-03-01,2,Influencer,277
2025-03-01,3,Social,164
2025-03-01,4,Social,262
2025-03-01,5,TV,427
2025-03-01,6,Search,172
2025-03-01,7,Influencer,25
2025-03-01,8,Social,22
2025-04-01,1,Influencer,231
2025-04-01,2,Influencer,331
2025-04-01,3,Influencer,204
2025-04-01,4,Social,391
2025-04-01,5,Search,174
2025-04-01,6,Influencer,31
2025-04-01,7,Search,68
2025-04-01,8,Influencer,207
2025-05-01,1,Influencer,94
2025-05-01,2,TV,215
2025-05-01,3,Social,69
2025-05-01,4,Influencer,191
2025-05-01,5,TV,256
2025-05-01,6,Search,286
2025-05-01,7,Influencer,300
2025-05-01,8,Social,230
2025-05-01,1,Social,411
2025-05-01,2,TV,250
2025-05-01,3,Social,36
2025-05-01,4,Influencer,381
2025-05-01,5,TV,269
2025-05-01,6,TV,263
2025-05-01,7,TV,154
2025-05-01,8,Influencer,412
2025-06-01,1,Search,384
2025-06-01,2,Social,237
2025-06-01,3,Social,209
2025-06-01,4,TV,155
2025-06-01,5,TV,394
2025-06-01,6,Search,268
2025-06-01,7,Social,375
2025-06-01,8,Search,306
2025-07-01,1,Search,190
2025-07-01,2,Social,139
2025-07-01,3,Social,141
2025-07-01,4,Influencer,404
2025-07-01,5,Influencer,113
2025-07-01,6,Search,140
2025-07-01,7,TV,60
2025-07-01,8,Social,408
2025-08-01,1,TV,277
2025-08-01,2,Search,171
2025-08-01,3,Search,43
2025-08-01,4,Search,162
2025-08-01,5,Social,348
2025-08-01,6,Social,20
2025-08-01,7,Influencer,62
2025-08-01,8,Search,229
2025-09-01,1,Social,76
2025-09-01,2,Influencer,372
2025-09-01,3,Search,90
2025-09-01,4,Search,405
2025-09-01,5,TV,362
2025-09-01,6,TV,358
2025-09-01,7,TV,135
2025-09-01,8,Social,200
