period_start,movie_id,city,engagement_score
2025-01-01,1,Mumbai,72.27
2025-01-01,1,Delhi,59.07
2025-01-01,1,Bengaluru,59.31
2025-01-01,1,Hyderabad,55.02
2025-01-01,1,Chennai,40.2
2025-01-01,1,Pune,40.67
2025-01-01,1,Kolkata,62.35
2025-01-01,2,Mumbai,59.8
2025-01-01,2,Delhi,78.82
2025-01-01,2,Bengaluru,76.49
2025-01-01,2,Hyderabad,73.38
2025-01-01,2,Chennai,52.48
2025-01-01,2,Pune,59.02
2025-01-01,2,Kolkata,46.7
2025-01-01,3,Mumbai,64.28
2025-01-01,3,Delhi,45.96
2025-01-01,3,Bengaluru,47.0
2025-01-01,3,Hyderabad,48.6
2025-01-01,3,Chennai,49.55
2025-01-01,3,Pune,56.74
2025-01-01,3,Kolkata,58.1
2025-01-01,4,Mumbai,44.58
2025-01-01,4,Delhi,64.37
2025-01-01,4,Bengaluru,42.81
2025-01-01,4,Hyderabad,66.34
2025-01-01,4,Chennai,35.36
2025-01-01,4,Pune,61.87
2025-01-01,4,Kolkata,61.08
2025-01-01,5,Mumbai,68.29
2025-01-01,5,Delhi,50.16
2025-01-01,5,Bengaluru,66.04
2025-01-01,5,Hyderabad,27.28
2025-01-01,5,Chennai,44.71
2025-01-01,5,Pune,60.52
2025-01-01,5,Kolkata,74.51
2025-01-01,6,Mumbai,53.13
2025-01-01,6,Delhi,42.52
2025-01-01,6,Bengaluru,60.35
2025-01-01,6,Hyderabad,56.67
2025-01-01,6,Chennai,53.63
2025-01-01,6,Pune,66.92
2025-01-01,6,Kolkata,44.93
2025-01-01,7,Mumbai,42.85
2025-01-01,7,Delhi,67.51
2025-01-01,7,Bengaluru,49.89
2025-01-01,7,Hyderabad,62.14
2025-01-01,7,Chennai,59.25
2025-01-01,7,Pune,79.04
2025-01-01,7,Kolkata,47.38
2025-01-01,8,Mumbai,58.74
2025-01-01,8,Delhi,53.68
2025-01-01,8,Bengaluru,71.5
2025-01-01,8,Hyderabad,38.45
2025-01-01,8,Chennai,49.29
2025-01-01,8,Pune,51.93
2025-01-01,8,Kolkata,45.7
2025-01-15,1,Mumbai,52.64
2025-01-15,1,Delhi,49.05
2025-01-15,1,Bengaluru,64.57
2025-01-15,1,Hyderabad,43.63
2025-01-15,1,Chennai,45.14
2025-01-15,1,Pune,65.74
2025-01-15,1,Kolkata,39.66
2025-01-15,2,Mumbai,55.65
2025-01-15,2,Delhi,54.2
2025-01-15,2,Bengaluru,85.83
2025-01-15,2,Hyderabad,70.63
2025-01-15,2,Chennai,54.1
2025-01-15,2,Pune,74.36
2025-01-15,2,Kolkata,46.13
2025-01-15,3,Mumbai,41.19
2025-01-15,3,Delhi,73.41
2025-01-15,3,Bengaluru,73.78
2025-01-15,3,Hyderabad,58.04
2025-01-15,3,Chennai,75.34
2025-01-15,3,Pune,66.82
2025-01-15,3,Kolkata,41.59
2025-01-15,4,Mumbai,46.57
2025-01-15,4,Delhi,43.12
2025-01-15,4,Bengaluru,62.63
2025-01-15,4,Hyderabad,61.55
2025-01-15,4,Chennai,54.67
2025-01-15,4,Pune,49.16
2025-01-15,4,Kolkata,57.13
2025-01-15,5,Mumbai,58.68
2025-01-15,5,Delhi,60.79
2025-01-15,5,Bengaluru,54.01
2025-01-15,5,Hyderabad,73.38
2025-01-15,5,Chennai,55.28
2025-01-15,5,Pune,51.03
2025-01-15,5,Kolkata,37.73
2025-01-15,6,Mumbai,46.54
2025-01-15,6,Delhi,62.72
2025-01-15,6,Bengaluru,49.2
2025-01-15,6,Hyderabad,45.46
2025-01-15,6,Chennai,51.31
2025-01-15,6,Pune,47.95
2025-01-15,6,Kolkata,58.93
2025-01-15,7,Mumbai,43.08
2025-01-15,7,Delhi,73.43
2025-01-15,7,Bengaluru,73.28
2025-01-15,7,Hyderabad,57.62
2025-01-15,7,Chennai,58.15
2025-01-15,7,Pune,65.14
2025-01-15,7,Kolkata,56.07
2025-01-15,8,Mumbai,79.23
2025-01-15,8,Delhi,66.66
2025-01-15,8,Bengaluru,63.76
2025-01-15,8,Hyderabad,72.13
2025-01-15,8,Chennai,66.05
2025-01-15,8,Pune,55.87
2025-01-15,8,Kolkata,55.11
2025-01-29,1,Mumbai,70.5
2025-01-29,1,Delhi,55.94
2025-01-29,1,Bengaluru,59.29
2025-01-29,1,Hyderabad,49.41
2025-01-29,1,Chennai,65.8
2025-01-29,1,Pune,43.39
2025-01-29,1,Kolkata,77.1
2025-01-29,2,Mumbai,61.3
2025-01-29,2,Delhi,50.22
2025-01-29,2,Bengaluru,61.67
2025-01-29,2,Hyderabad,67.31
2025-01-29,2,Chennai,49.56
2025-01-29,2,Pune,67.21
2025-01-29,2,Kolkata,63.66
2025-01-29,3,Mumbai,93.24
2025-01-29,3,Delhi,67.22
2025-01-29,3,Bengaluru,26.14
2025-01-29,3,Hyderabad,60.07
2025-01-29,3,Chennai,47.83
2025-01-29,3,Pune,45.83
2025-01-29,3,Kolkata,54.5
2025-01-29,4,Mumbai,60.51
2025-01-29,4,Delhi,62.52
2025-01-29,4,Bengaluru,80.95
2025-01-29,4,Hyderabad,58.68
2025-01-29,4,Chennai,54.24
2025-01-29,4,Pune,71.49
2025-01-29,4,Kolkata,57.28
2025-01-29,5,Mumbai,67.47
2025-01-29,5,Delhi,38.96
2025-01-29,5,Bengaluru,53.91
2025-01-29,5,Hyderabad,56.48
2025-01-29,5,Chennai,39.37
2025-01-29,5,Pune,71.64
2025-01-29,5,Kolkata,53.36
2025-01-29,6,Mumbai,71.18
2025-01-29,6,Delhi,57.23
2025-01-29,6,Bengaluru,47.66
2025-01-29,6,Hyderabad,43.61
2025-01-29,6,Chennai,48.67
2025-01-29,6,Pune,49.51
2025-01-29,6,Kolkata,69.44
2025-01-29,7,Mumbai,56.21
2025-01-29,7,Delhi,64.75
2025-01-29,7,Bengaluru,62.3
2025-01-29,7,Hyderabad,60.62
2025-01-29,7,Chennai,71.19
2025-01-29,7,Pune,82.6
2025-01-29,7,Kolkata,58.11
2025-01-29,8,Mumbai,75.79
2025-01-29,8,Delhi,63.79
2025-01-29,8,Bengaluru,60.27
2025-01-29,8,Hyderabad,56.29
2025-01-29,8,Chennai,52.16
2025-01-29,8,Pune,68.31
2025-01-29,8,Kolkata,66.63
2025-02-12,1,Mumbai,63.98
2025-02-12,1,Delhi,58.23
2025-02-12,1,Bengaluru,75.75
2025-02-12,1,Hyderabad,70.52
2025-02-12,1,Chennai,42.34
2025-02-12,1,Pune,50.05
2025-02-12,1,Kolkata,63.47
2025-02-12,2,Mumbai,57.86
2025-02-12,2,Delhi,43.16
2025-02-12,2,Bengaluru,82.14
2025-02-12,2,Hyderabad,27.1
