review_date,movie_id,avg_rating,review_count
2025-01-01,1,3.63,152
2025-01-01,2,2.75,163
2025-01-01,3,3.93,141
2025-01-01,4,2.85,98
2025-01-01,5,3.74,228
2025-01-01,6,3.76,122
2025-01-01,7,3.75,83
2025-01-01,8,4.06,61
2025-01-08,1,4.0,177
2025-01-08,2,3.64,88
2025-01-08,3,3.31,190
2025-01-08,4,2.01,109
2025-01-08,5,4.01,216
2025-01-08,6,3.51,81
2025-01-08,7,2.65,63
2025-01-08,8,3.74,100
2025-01-15,1,3.89,206
2025-01-15,2,3.36,205
2025-01-15,3,4.98,192
2025-01-15,4,2.52,121
2025-01-15,5,3.74,223
2025-01-15,6,3.99,107
2025-01-15,7,2.35,29
2025-01-15,8,3.46,95
2025-01-22,1,4.76,55
2025-01-22,2,3.51,134
2025-01-22,3,4.37,152
2025-01-22,4,2.94,170
2025-01-22,5,4.22,210
2025-01-22,6,4.28,36
2025-01-22,7,2.51,63
2025-01-22,8,3.38,166
2025-01-29,1,4.54,235
2025-01-29,2,4.36,87
2025-01-29,3,3.76,164
2025-01-29,4,2.94,177
2025-01-29,5,4.28,93
2025-01-29,6,4.02,231
2025-01-29,7,2.68,34
2025-01-29,8,4.11,107
2025-02-05,1,5.0,207
2025-02-05,2,3.74,229
2025-02-05,3,4.3,69
2025-02-05,4,2.81,57
2025-02-05,5,2.33,185
2025-02-05,6,3.45,211
2025-02-05,7,2.42,95
2025-02-05,8,3.99,226
2025-02-12,1,4.17,220
2025-02-12,2,4.1,132
2025-02-12,3,3.96,196
2025-02-12,4,3.22,71
2025-02-12,5,3.73,55
2025-02-12,6,3.29,63
2025-02-12,7,3.3,70
2025-02-12,8,4.28,187
2025-02-19,1,4.13,122
2025-02-19,2,3.83,200
2025-02-19,3,3.23,130
2025-02-19,4,3.05,105
2025-02-19,5,3.81,169
2025-02-19,6,3.66,111
2025-02-19,7,3.5,88
2025-02-19,8,4.31,123
2025-02-26,1,4.08,240
2025-02-26,2,3.75,98
2025-02-26,3,4.25,82
2025-02-26,4,2.26,200
2025-02-26,5,3.57,218
2025-02-26,6,3.73,35
2025-02-26,7,3.5,223
2025-02-26,8,4.28,226
2025-03-05,1,4.26,214
2025-03-05,2,4.09,59
2025-03-05,3,3.34,103
2025-03-05,4,2.86,180
2025-03-05,5,3.98,212
2025-03-05,6,3.83,29
2025-03-05,7,2.27,79
2025-03-05,8,3.57,163
2025-03-12,1,3.82,36
2025-03-12,2,3.33,90
2025-03-12,3,4.3,158
2025-03-12,4,2.57,95
2025-03-12,5,3.06,126
2025-03-12,6,3.93,182
2025-03-12,7,3.25,119
2025-03-12,8,4.02,137
2025-03-19,1,3.95,140
2025-03-19,2,3.21,200
2025-03-19,3,3.94,122
2025-03-19,4,3.85,63
2025-03-19,5,2.27,186
2025-03-19,6,3.67,149
2025-03-19,7,3.15,66
2025-03-19,8,4.09,239
2025-03-26,1,3.5,71
2025-03-26,2,4.94,97
2025-03-26,3,4.25,227
2025-03-26,4,3.3,56
2025-03-26,5,2.48,146
2025-03-26,6,3.56,38
2025-03-26,7,3.0,173
2025-03-26,8,3.64,190
2025-04-02,1,4.32,127
2025-04-02,2,3.39,210
2025-04-02,3,4.07,172
2025-04-02,4,2.74,212
2025-04-02,5,4.48,114
2025-04-02,6,4.2,222
2025-04-02,7,3.52,186
2025-04-02,8,3.93,106
2025-04-09,1,4.85,185
2025-04-09,2,4.11,229
2025-04-09,3,4.67,106
2025-04-09,4,3.32,215
2025-04-09,5,3.29,181
2025-04-09,6,3.58,124
2025-04-09,7,2.81,77
2025-04-09,8,3.85,236
2025-04-16,1,4.06,210
2025-04-16,2,3.26,205
2025-04-16,3,3.71,184
2025-04-16,4,2.68,152
2025-04-16,5,4.08,84
2025-04-16,6,4.04,55
2025-04-16,7,2.93,182
2025-04-16,8,3.96,168
2025-04-23,1,4.74,201
2025-04-23,2,3.8,48
2025-04-23,3,4.34,91
2025-04-23,4,3.34,68
2025-04-23,5,3.9,127
2025-04-23,6,3.85,226
2025-04-23,7,2.39,235
2025-04-23,8,3.65,234
2025-04-30,1,3.48,91
2025-04-30,2,3.26,229
2025-04-30,3,4.34,235
2025-04-30,4,2.31,130
2025-04-30,5,3.71,172
2025-04-30,6,3.62,92
2025-04-30,7,2.45,146
2025-04-30,8,3.42,84
2025-05-07,1,4.28,227
2025-05-07,2,3.67,79
2025-05-07,3,3.7,29
2025-05-07,4,3.46,238
2025-05-07,5,3.58,200
2025-05-07,6,3.76,119
2025-05-07,7,3.08,26
2025-05-07,8,3.97,140
2025-05-14,1,3.63,185
2025-05-14,2,4.21,160
2025-05-14,3,3.55,172
2025-05-14,4,3.61,183
2025-05-14,5,2.77,118
2025-05-14,6,4.03,183
2025-05-14,7,2.79,206
2025-05-14,8,4.97,86
2025-05-21,1,4.23,162
2025-05-21,2,4.11,62
2025-05-21,3,3.68,131
2025-05-21,4,3.19,159
2025-05-21,5,3.18,60
2025-05-21,6,3.65,25
2025-05-21,7,2.88,220
2025-05-21,8,4.57,120
2025-05-28,1,4.64,54
2025-05-28,2,4.35,104
2025-05-28,3,3.4,134
2025-05-28,4,2.2,230
2025-05-28,5,4.42,197
2025-05-28,6,4.08,198
2025-05-28,7,2.53,214
2025-05-28,8,4.23,111
2025-06-04,1,4.99,154
2025-06-04,2,4.21,157
2025-06-04,3,4.34,169
2025-06-04,4,2.6,41
2025-06-04,5,3.87,236
2025-06-04,6,3.97,70
2025-06-04,7,3.32,118
2025-06-04,8,2.91,223
2025-06-11,1,4.17,122
2025-06-11,2,3.88,80
2025-06-11,3,3.86,227
2025-06-11,4,3.17,85
2025-06-11,5,3.19,46
2025-06-11,6,3.93,202
2025-06-11,7,2.76,90
2025-06-11,8,3.84,110
2025-06-18,1,4.4,124
2025-06-18,2,2.54,198
2025-06-18,3,3.35,200
2025-06-18,4,2.52,209
2025-06-18,5,3.83,131
2025-06-18,6,3.79,179
2025-06-18,7,3.74,179
2025-06-18,8,3.8,53
2025-06-25,1,4.53,131
2025-06-25,2,3.41,232
2025-06-25,3,4.12,218
2025-06-25,4,3.46,63
2025-06-25,5,3.86,130
2025-06-25,6,3.09,157
2025-06-25,7,2.23,208
2025-06-25,8,3.68,105
2025-07-02,1,4.57,171
2025-07-02,2,3.27,139
2025-07-02,3,4.66,213
2025-07-02,4,2.68,183
2025-07-02,5,3.79,226
2025-07-02,6,3.81,136
2025-07-02,7,2.94,103
2025-07-02,8,3.41,121
2025-07-09,1,4.57,170
2025-07-09,2,3.26,95
2025-07-09,3,3.48,199
2025-07-09,4,2.93,134
2025-07-09,5,3.99,129
2025-07-09,6,4.13,151
2025-07-09,7,3.01,132
2025-07-09,8,3.76,74
2025-07-16,1,4.67,167
2025-07-16,2,3.82,69
2025-07-16,3,3.22,111
2025-07-16,4,3.07,61
2025-07-16,5,3.8,162
2025-07-16,6,3.8,145
2025-07-16,7,2.76,202
2025-07-16,8,3.44,80
2025-07-23,1,4.46,135
2025-07-23,2,3.52,172
2025-07-23,3,3.65,76
2025-07-23,4,2.92,236
2025-07-23,5,3.47,150
2025-07-23,6,3.78,48
2025-07-23,7,2.46,227
2025-07-23,8,4.28,69
2025-07-30,1,3.72,202
2025-07-30,2,3.27,84
2025-07-30,3,3.68,77
2025-07-30,4,3.07,233
2025-07-30,5,3.64,122
2025-07-30,6,4.01,228
2025-07-30,7,2.34,94
2025-07-30,8,2.99,134
2025-08-06,1,4.08,105
2025-08-06,2,3.51,121
2025-08-06,3,3.76,203
2025-08-06,4,2.02,60
2025-08-06,5,3.62,233
2025-08-06,6,4.21,193
2025-08-06,7,3.45,233
2025-08-06,8,3.79,36
2025-08-13,1,3.8,114
2025-08-13,2,3.4,231
2025-08-13,3,3.9,213
2025-08-13,4,3.51,49
2025-08-13,5,3.65,86
2025-08-13,6,3.91,191
2025-08-13,7,3.53,171
2025-08-13,8,3.88,228
2025-08-20,1,3.82,137
2025-08-20,2,3.24,95
2025-08-20,3,4.36,103
2025-08-20,4,2.1,129
2025-08-20,5,4.39,48
2025-08-20,6,3.66,98
2025-08-20,7,3.41,155
2025-08-20,8,4.15,200
2025-08-27,1,4.17,73
2025-08-27,2,4.05,38
2025-08-27,3,3.63,96
2025-08-27,4,1.98,50
2025-08-27,5,3.39,117
2025-08-27,6,3.74,175
2025-08-27,7,2.74,76
2025-08-27,8,4.69,139
2025-09-03,1,5.0,131
2025-09-03,2,3.75,83
2025-09-03,3,3.52,200
2025-09-03,4,2.29,53
2025-09-03,5,4.65,116
2025-09-03,6,3.6,46
2025-09-03,7,2.58,71
2025-09-03,8,4.18,200
2025-09-10,1,4.66,190
2025-09-10,2,4.31,218
2025-09-10,3,3.61,48
2025-09-10,4,2.89,129
2025-09-10,5,3.69,143
2025-09-10,6,3.03,191
2025-09-10,7,3.02,78
2025-09-10,8,2.62,225
2025-09-17,1,4.0,78
2025-09-17,2,3.65,28
2025-09-17,3,4.17,56
2025-09-17,4,2.96,130
2025-09-17,5,2.66,110
2025-09-17,6,3.53,120
2025-09-17,7,2.61,193
2025-09-17,8,3.17,204
2025-09-24,1,3.91,33
2025-09-24,2,3.79,30
2025-09-24,3,4.08,148
2025-09-24,4,2.95,208
2025-09-24,5,3.09,233
2025-09-24,6,4.08,129
2025-09-24,7,3.08,80
2025-09-24,8,3.61,41
2025-10-01,1,4.42,135
2025-10-01,2,4.18,155
2025-10-01,3,4.28,212
2025-10-01,4,3.22,70
2025-10-01,5,3.54,37
2025-10-01,6,3.97,54
2025-10-01,7,2.99,95
2025-10-01,8,3.28,128
2025-10-08,1,4.55,174
2025-10-08,2,4.54,177
2025-10-08,3,3.87,101
2025-10-08,4,2.27,116
2025-10-08,5,4.37,226
2025-10-08,6,3.51,220
2025-10-08,7,2.32,40
2025-10-08,8,3.86,64
2025-10-15,1,4.45,33
2025-10-15,2,3.49,129
