viewer_id,city,segment,signup_date
1,Mumbai,Casual,2025-03-08
2,Mumbai,Gen Z,2024-04-05
3,Delhi,Millennials,2025-06-01
4,Chennai,Gen Z,2024-07-22
5,Pune,Casual,2025-03-05
6,Delhi,Premium,2024-10-11
7,Kolkata,Gen Z,2024-06-12
8,Pune,Premium,2024-12-14
9,Bengaluru,Millennials,2024-08-08
10,Kolkata,Families,2024-04-14
11,Mumbai,Premium,2024-04-09
12,Bengaluru,Families,2024-09-27
13,Kolkata,Gen Z,2025-04-15
14,Chennai,Gen Z,2025-01-22
15,Mumbai,Casual,2024-10-27
16,Kolkata,Casual,2025-01-05
17,Chennai,Millennials,2024-03-12
18,Mumbai,Millennials,2024-10-23
19,Mumbai,Millennials,2024-04-13
20,Hyderabad,Families,2025-04-09
21,Pune,Families,2024-06-15
22,Bengaluru,Families,2024-08-02
23,Pune,Families,2024-03-14
24,Chennai,Millennials,2025-06-30
25,Pune,Millennials,2024-06-16
26,Hyderabad,Premium,2024-10-03
27,Pune,Casual,2024-08-12
28,Pune,Families,2024-02-27
29,Delhi,Gen Z,2024-11-19
30,Hyderabad,Families,2024-03-08
31,Delhi,Casual,2024-11-18
32,Delhi,Premium,2025-02-09
33,Pune,Premium,2024-05-26
34,Bengaluru,Millennials,2024-09-09
35,Pune,Casual,2025-07-05
36,Bengaluru,Casual,2025-03-14
37,Chennai,Premium,2025-01-05
38,Delhi,Millennials,2025-06-05
39,Hyderabad,Gen Z,2024-02-18
40,Kolkata,Gen Z,2024-06-05
41,Pune,Millennials,2025-03-08
42,Chennai,Gen Z,2025-01-29
43,Hyderabad,Casual,2025-04-24
44,Chennai,Families,2024-01-12
45,Pune,Gen Z,2025-07-03
46,Kolkata,Families,2024-12-14
47,Mumbai,Families,2025-03-21
48,Delhi,Premium,2024-01-04
49,Pune,Families,2025-05-27
50,Kolkata,Millennials,2025-06-03
51,Mumbai,Families,2025-06-03
52,Chennai,Millennials,2024-06-05
53,Bengaluru,Millennials,2025-07-06
54,Kolkata,Casual,2024-01-01
55,Chennai,Families,2025-05-15
56,Mumbai,Gen Z,2025-01-06
57,Kolkata,Families,2024-09-02
58,Mumbai,Millennials,2024-03-21
59,Mumbai,Premium,2024-03-11
60,Kolkata,Casual,2024-05-08
61,Delhi,Premium,2024-06-18
62,Bengaluru,Casual,2025-03-09
63,Delhi,Casual,2024-07-24
64,Pune,Families,2025-02-12
65,Pune,Families,2025-03-24
66,Chennai,Premium,2024-05-03
67,Delhi,Millennials,2024-03-06
68,Bengaluru,Gen Z,2024-08-23
69,Chennai,Millennials,2024-01-08
70,Mumbai,Gen Z,2024-08-22
71,Mumbai,Gen Z,2024-12-04
72,Mumbai,Casual,2024-08-31
73,Bengaluru,Premium,2024-08-07
74,Chennai,Millennials,2025-04-29
75,Delhi,Premium,2025-02-20
76,Delhi,Gen Z,2024-04-09
77,Pune,Premium,2024-12-28
78,Hyderabad,Premium,2025-04-23
79,Kolkata,Gen Z,2024-04-10
80,Mumbai,Premium,2024-12-13
81,Kolkata,Gen Z,2024-09-11
82,Delhi,Millennials,2025-07-03
83,Hyderabad,Millennials,2025-03-08
84,Delhi,Families,2025-04-18
85,Delhi,Gen Z,2025-03-29
86,Kolkata,Casual,2024-04-10
87,Mumbai,Casual,2024-01-16
88,Mumbai,Millennials,2024-06-19
89,Hyderabad,Premium,2025-05-07
90,Delhi,Premium,2024-03-01
91,Delhi,Premium,2024-01-03
92,Hyderabad,Families,2025-04-10
93,Bengaluru,Premium,2025-05-13
94,Delhi,Millennials,2024-10-30
95,Delhi,Gen Z,2025-07-09
96,Mumbai,Families,2024-02-28
97,Mumbai,Casual,2025-05-03
98,Chennai,Casual,2024-06-10
99,Mumbai,Casual,2024-03-23
100,Kolkata,Millennials,2024-03-11
101,Chennai,Gen Z,2024-08-28
102,Hyderabad,Gen Z,2024-09-09
103,Chennai,Casual,2024-02-10
104,Chennai,Gen Z,2025-03-05
105,Pune,Casual,2025-06-19
106,Bengaluru,Families,2024-07-28
107,Pune,Families,2024-09-01
108,Bengaluru,Premium,2024-05-14
109,Pune,Families,2025-04-13
110,Bengaluru,Gen Z,2024-01-10
111,Hyderabad,Casual,2024-04-12
112,Mumbai,Casual,2024-08-06
113,Chennai,Families,2024-05-15
114,Bengaluru,Gen Z,2024-09-07
115,Bengaluru,Families,2024-06-10
116,Hyderabad,Casual,2024-11-05
117,Chennai,Casual,2024-01-09
118,Pune,Casual,2024-11-02
119,Pune,Gen Z,2024-05-17
120,Bengaluru,Gen Z,2024-04-19
121,Pune,Casual,2024-06-08
122,Bengaluru,Families,2024-08-03
123,Pune,Families,2024-07-27
124,Pune,Families,2025-06-01
125,Hyderabad,Families,2024-02-22
126,Mumbai,Premium,2024-10-10
127,Mumbai,Gen Z,2024-12-07
128,Kolkata,Millennials,2024-09-25
129,Delhi,Premium,2025-03-13
130,Chennai,Gen Z,2024-04-24
131,Mumbai,Millennials,2025-07-12
132,Mumbai,Families,2024-05-31
133,Hyderabad,Millennials,2024-02-12
134,Bengaluru,Families,2024-02-10
135,Bengaluru,Millennials,2024-09-12
136,Pune,Gen Z,2024-12-28
137,Kolkata,Casual,2025-02-20
138,Chennai,Millennials,2024-08-30
139,Kolkata,Millennials,2024-06-30
140,Hyderabad,Gen Z,2024-07-02
141,Pune,Families,2025-02-25
142,Kolkata,Millennials,2024-09-30
143,Delhi,Gen Z,2025-01-26
144,Kolkata,Gen Z,2025-04-26
