activity_date,movie_id,views,watch_minutes,completion_rate
2025-01-01,1,936,48672,0.74
2025-01-01,2,675,48600,0.73
2025-01-01,3,689,57187,0.64
2025-01-01,4,249,17679,0.51
2025-01-01,5,449,31879,0.73
2025-01-01,6,483,38157,0.59
2025-01-01,7,119,5236,0.7
2025-01-01,8,402,23316,0.68
2025-01-02,1,858,75504,0.78
2025-01-02,2,820,57400,0.68
2025-01-02,3,658,28952,0.62
2025-01-02,4,127,7493,0.57
2025-01-02,5,338,25688,0.62
2025-01-02,6,317,12363,0.77
2025-01-02,7,132,8712,0.41
2025-01-02,8,349,21638,0.69
2025-01-03,1,847,67760,0.74
2025-01-03,2,605,33880,0.78
2025-01-03,3,695,29885,0.57
2025-01-03,4,251,22088,0.59
2025-01-03,5,337,19546,0.59
2025-01-03,6,398,22686,0.72
2025-01-03,7,100,4400,0.56
2025-01-03,8,452,29832,0.73
2025-01-04,1,865,38060,0.66
2025-01-04,2,769,33067,0.7
2025-01-04,3,552,34224,0.61
2025-01-04,4,337,29319,0.52
2025-01-04,5,559,29627,0.78
2025-01-04,6,378,23436,0.67
2025-01-04,7,248,13640,0.57
2025-01-04,8,392,25480,0.69
2025-01-05,1,939,82632,0.76
2025-01-05,2,750,39750,0.72
2025-01-05,3,644,49588,0.6
2025-01-05,4,271,15447,0.55
2025-01-05,5,495,38115,0.69
2025-01-05,6,311,20526,0.8
2025-01-05,7,150,11850,0.64
2025-01-05,8,460,26680,0.68
2025-01-06,1,857,58276,0.62
2025-01-06,2,623,36134,0.88
2025-01-06,3,630,43470,0.81
2025-01-06,4,388,22504,0.48
2025-01-06,5,321,20223,0.79
2025-01-06,6,304,15200,0.83
2025-01-06,7,141,11421,0.45
2025-01-06,8,421,35364,0.67
2025-01-07,1,835,55110,0.72
2025-01-07,2,741,31122,0.55
2025-01-07,3,716,45824,0.56
2025-01-07,4,240,13680,0.47
2025-01-07,5,425,35275,0.81
2025-01-07,6,355,23430,0.73
2025-01-07,7,305,19215,0.5
2025-01-07,8,253,20746,0.65
2025-01-08,1,932,56852,0.7
2025-01-08,2,569,44382,0.72
2025-01-08,3,621,49059,0.63
2025-01-08,4,197,15957,0.38
2025-01-08,5,497,18886,0.67
2025-01-08,6,450,31950,0.58
2025-01-08,7,149,12963,0.54
2025-01-08,8,316,18960,0.78
2025-01-09,1,784,35280,0.79
2025-01-09,2,759,45540,0.58
2025-01-09,3,628,32028,0.77
2025-01-09,4,191,8404,0.5
2025-01-09,5,312,18096,0.74
2025-01-09,6,440,36520,0.7
2025-01-09,7,329,25991,0.61
2025-01-09,8,524,44540,0.78
2025-01-10,1,951,45648,0.74
2025-01-10,2,661,44287,0.76
2025-01-10,3,668,32732,0.77
2025-01-10,4,302,19026,0.62
2025-01-10,5,521,26050,0.71
2025-01-10,6,344,13072,0.72
2025-01-10,7,205,17630,0.46
2025-01-10,8,381,28194,0.55
2025-01-11,1,1072,52528,0.79
2025-01-11,2,666,29970,0.73
2025-01-11,3,648,46008,0.85
2025-01-11,4,323,20026,0.5
2025-01-11,5,343,20580,0.62
2025-01-11,6,370,18130,0.76
2025-01-11,7,265,15105,0.39
2025-01-11,8,507,41067,0.64
2025-01-12,1,975,55575,0.72
2025-01-12,2,753,35391,0.74
2025-01-12,3,582,26772,0.68
2025-01-12,4,189,13041,0.47
2025-01-12,5,344,27176,0.6
2025-01-12,6,461,22128,0.67
2025-01-12,7,178,10324,0.51
2025-01-12,8,476,28560,0.6
2025-01-13,1,1032,51600,0.66
2025-01-13,2,776,54320,0.5
2025-01-13,3,615,42435,0.62
2025-01-13,4,136,9384,0.59
2025-01-13,5,468,41184,0.78
2025-01-13,6,424,23320,0.62
